createdAt,type,type_daily_count
2016-10-25,TASK,1
2016-10-31,MEETING,1
2016-10-31,NOTE,1
2016-10-31,TASK,1
2016-11-04,CALL,1
2016-11-10,NOTE,1
2016-11-13,CALL,1
2016-11-19,TASK,1
2016-11-23,NOTE,5
2016-11-23,TASK,9
2016-11-24,EMAIL,2
2016-11-26,EMAIL,1
2016-11-28,NOTE,1
2016-12-03,NOTE,1
2016-12-10,CALL,1
2016-12-10,EMAIL,1
2016-12-10,NOTE,18
2016-12-16,CALL,1
2016-12-16,NOTE,1
2016-12-21,NOTE,1
2017-01-05,EMAIL,1
2017-01-05,NOTE,9
2017-01-06,EMAIL,8
2017-01-06,NOTE,9
2017-01-19,PUBLISHING_TASK,1
2017-01-20,PUBLISHING_TASK,4
2017-01-24,PUBLISHING_TASK,1
2017-02-04,CALL,1
2017-02-04,NOTE,1
2017-02-14,NOTE,2
2017-02-16,EMAIL,1
2017-02-16,NOTE,8
2017-02-16,TASK,1
2017-02-17,MEETING,1
2017-02-17,NOTE,3
2017-02-19,NOTE,2
2017-02-21,PUBLISHING_TASK,1
2017-02-22,NOTE,1
2017-02-23,EMAIL,1
2017-02-23,MEETING,1
2017-02-23,NOTE,2
2017-02-23,TASK,1
2017-03-03,CALL,23
2017-03-04,CALL,40
2017-03-06,CALL,25
2017-03-08,TASK,2
2017-03-12,NOTE,1
2017-03-13,TASK,1
2017-03-14,NOTE,1
2017-03-19,NOTE,1
2017-03-22,NOTE,1
2017-03-23,PUBLISHING_TASK,1
2017-03-30,TASK,1
2017-04-04,MEETING,2
2017-04-04,TASK,1
2017-04-05,NOTE,4
2017-04-06,NOTE,5
2017-04-07,NOTE,20
2017-04-07,TASK,1
2017-04-10,EMAIL,1
2017-04-10,NOTE,1
2017-04-10,TASK,1
2017-04-11,MEETING,2
2017-04-11,NOTE,2
2017-04-12,NOTE,1
2017-04-19,CALL,1
2017-04-19,NOTE,1
2017-04-27,NOTE,1
2017-05-04,EMAIL,2
2017-05-04,NOTE,1
2017-05-04,TASK,2
2017-05-05,EMAIL,9
2017-05-08,CALL,26
2017-05-08,NOTE,2
2017-05-09,CALL,19
2017-05-09,NOTE,2
2017-05-10,CALL,1
2017-05-10,NOTE,3
2017-05-11,CALL,1
2017-05-11,PUBLISHING_TASK,1
2017-05-13,PUBLISHING_TASK,1
2017-05-15,CALL,12
2017-05-15,PUBLISHING_TASK,1
2017-05-16,NOTE,1
2017-05-17,MEETING,2
2017-05-17,NOTE,8
2017-05-17,TASK,2
2017-05-18,NOTE,5
2017-05-18,TASK,1
2017-05-22,NOTE,2
2017-05-23,NOTE,6
2017-05-24,TASK,11
2017-05-25,TASK,17
2017-06-05,CALL,1
2017-06-06,NOTE,1
2017-06-06,TASK,25
2017-06-14,NOTE,1
2017-06-15,PUBLISHING_TASK,1
2017-06-17,CALL,1
2017-06-17,NOTE,1
2017-06-20,CALL,5
2017-06-23,PUBLISHING_TASK,1
2017-06-23,TASK,1
2017-06-26,EMAIL,2
2017-06-27,EMAIL,2
2017-06-28,EMAIL,8
2017-07-01,NOTE,2
2017-07-03,EMAIL,1
2017-07-04,EMAIL,7
2017-07-05,EMAIL,1
2017-07-05,PUBLISHING_TASK,2
2017-07-06,CALL,1
2017-07-07,NOTE,1
2017-07-07,TASK,5
2017-07-08,TASK,2
2017-07-09,PUBLISHING_TASK,1
2017-07-10,TASK,1
2017-07-11,NOTE,1
2017-07-14,PUBLISHING_TASK,4
2017-07-18,NOTE,1
2017-07-21,NOTE,2
2017-07-26,PUBLISHING_TASK,5
2017-07-27,CALL,1
2017-07-27,NOTE,1
2017-07-27,TASK,1
2017-08-02,TASK,12
2017-08-05,PUBLISHING_TASK,1
2017-08-07,NOTE,2
2017-08-10,NOTE,1
2017-08-11,CALL,2
2017-08-26,PUBLISHING_TASK,66
2017-08-31,NOTE,13
2017-09-01,NOTE,12
2017-09-02,NOTE,4
2017-09-03,NOTE,37
2017-09-04,NOTE,3
2017-09-04,PUBLISHING_TASK,1
2017-09-05,NOTE,14
2017-09-06,NOTE,13
2017-09-07,NOTE,15
2017-09-08,NOTE,44
2017-09-10,NOTE,4
2017-09-11,NOTE,1
2017-09-19,NOTE,3
2017-09-20,NOTE,1
2017-09-24,NOTE,2
2017-09-26,NOTE,16
2017-09-27,NOTE,77
2017-09-28,NOTE,1
2017-09-29,NOTE,2
2017-09-30,NOTE,3
2017-10-01,NOTE,1
2017-10-02,NOTE,11
2017-10-03,TASK,1
2017-10-06,CALL,1
2017-10-06,NOTE,1
2017-10-06,TASK,1
